zone_id,hospital_id,distance_km,travel_cost
Z1,H1,27.07,324.79
Z1,H2,44.33,531.93
Z1,H3,36.62,439.45
Z1,H4,60.42,725.07
Z1,H5,73.90,886.85
Z1,H6,71.34,856.08
Z1,H7,50.93,611.17
Z1,H8,27.26,327.08
Z1,H9,43.88,526.54
Z1,H10,76.35,916.24
Z1,H11,68.46,821.55
Z1,H12,53.55,642.56
Z1,H13,52.66,631.95
Z1,H14,37.25,447.01
Z1,H15,66.43,797.15
Z1,H16,49.59,595.08
Z1,H17,99.13,1189.61
Z1,H18,93.85,1126.15
Z1,H19,31.99,383.93
Z1,H20,81.38,976.60
Z1,H21,27.89,334.65
Z1,H22,69.66,835.87
Z1,H23,52.41,628.97
Z1,H24,40.94,491.27
Z1,H25,70.28,843.37
Z1,H26,40.19,482.31
Z1,H27,58.71,704.47
Z1,H28,18.40,220.84
Z1,H29,48.68,584.22
Z1,H30,24.51,294.16
Z2,H1,60.58,726.98
Z2,H2,55.04,660.51
Z2,H3,26.93,323.19
Z2,H4,92.41,1108.87
Z2,H5,95.82,1149.82
Z2,H6,100.24,1202.93
Z2,H7,72.16,865.90
Z2,H8,60.43,725.17
Z2,H9,49.36,592.31
Z2,H10,95.83,1149.95
Z2,H11,59.34,712.07
Z2,H12,81.39,976.70
Z2,H13,69.15,829.84
Z2,H14,51.84,622.03
Z2,H15,82.07,984.81
Z2,H16,75.56,906.75
Z2,H17,115.96,1391.52
Z2,H18,107.56,1290.68
Z2,H19,30.32,363.86
Z2,H20,91.68,1100.12
Z2,H21,13.64,163.73
Z2,H22,72.67,872.06
Z2,H23,85.07,1020.79
Z2,H24,58.50,702.04
Z2,H25,66.57,798.89
Z2,H26,72.06,864.77
Z2,H27,66.06,792.76
Z2,H28,51.50,618.02
Z2,H29,51.53,618.41
Z2,H30,46.19,554.26
Z3,H1,60.50,725.95
Z3,H2,18.06,216.71
Z3,H3,14.34,172.13
Z3,H4,75.02,900.18
Z3,H5,61.74,740.92
Z3,H6,74.85,898.25
Z3,H7,40.64,487.62
Z3,H8,62.49,749.83
Z3,H9,10.05,120.61
Z3,H10,59.63,715.60
Z3,H11,27.27,327.21
Z3,H12,56.79,681.51
Z3,H13,33.60,403.19
Z3,H14,20.24,242.89
Z3,H15,44.23,530.80
Z3,H16,49.25,591.04
Z3,H17,77.17,926.06
Z3,H18,67.68,812.21
Z3,H19,11.38,136.60
Z3,H20,51.19,614.33
Z3,H21,49.24,590.85
Z3,H22,32.15,385.75
Z3,H23,71.03,852.37
Z3,H24,26.99,323.88
Z3,H25,29.12,349.48
Z3,H26,57.86,694.32
Z3,H27,25.60,307.24
Z3,H28,47.76,573.11
Z3,H29,10.79,129.44
Z3,H30,27.42,329.09
Z4,H1,57.53,690.41
Z4,H2,48.60,583.25
Z4,H3,77.24,926.92
Z4,H4,28.79,345.49
Z4,H5,15.33,183.99
Z4,H6,12.26,147.06
Z4,H7,25.61,307.26
Z4,H8,60.79,729.53
Z4,H9,56.95,683.41
Z4,H10,23.18,278.14
Z4,H11,81.85,982.26
