hospital_id,name,x_coord,y_coord,existing_beds,cost_per_added_bed,fixed_open_expand_cost
H1,Hospital_1,37.45,95.07,186,37456,6304572
H2,Hospital_2,59.69,44.58,294,42753,3136074
H3,Hospital_3,86.62,60.11,231,45071,6523669
H4,Hospital_4,5.64,72.2,373,22072,2103355
H5,Hospital_5,18.34,30.42,101,25446,3307371
H6,Hospital_6,2.31,52.48,249,19725,6721339
H7,Hospital_7,36.64,45.61,254,24813,3954354
H8,Hospital_8,38.25,98.32,210,50000,2528178
H9,Hospital_9,68.03,45.05,353,33567,2068148
H10,Hospital_10,23.09,24.1,343,23858,8397986
H11,Hospital_11,90.93,25.88,81,34300,4305413
H12,Hospital_12,20.79,56.77,270,44326,9281369
H13,Hospital_13,44.98,39.52,349,35584,4585031
H14,Hospital_14,57.04,52.08,269,18441,5366612
H15,Hospital_15,38.87,27.13,132,31143,3767640
H16,Hospital_16,28.09,54.27,120,36041,8080526
H17,Hospital_17,16.53,1.56,88,34226,8227947
H18,Hospital_18,29.35,1.41,160,38196,4111138
H19,Hospital_19,79.02,60.6,310,40020,3079111
H20,Hospital_20,44.95,9.54,141,16900,8245035
H21,Hospital_21,90.46,96.77,190,29000,7123456
H22,Hospital_22,66.28,19.11,200,32000,4500000
H23,Hospital_23,12.34,78.56,220,28000,6000000
H24,Hospital_24,50.12,50.12,300,35000,5000000
H25,Hospital_25,80.45,20.45,150,27000,4000000
H26,Hospital_26,25.67,75.89,180,31000,5500000
H27,Hospital_27,60.23,30.12,200,29000,4500000
H28,Hospital_28,45.67,85.34,220,33000,6000000
H29,Hospital_29,70.89,40.56,250,36000,7000000
H30,Hospital_30,55.12,65.78,190,30000,5000000
