zone_id,x_coord,y_coord,population,patient_demand
Z1,63.76,88.72,90592,389
Z2,97.17,84.89,102948,552
Z3,77.1,49.38,139176,871
Z4,11.09,43.93,142546,311
Z5,63.64,31.44,130687,806
Z6,13.93,60.44,87214,569
Z7,22.88,7.7,95450,588
Z8,88.05,62.44,62557,362
Z9,87.15,80.37,89163,401
Z10,88.33,32.43,95766,706
Z11,31.8,11.01,148376,873
Z12,0.05,35.26,29474,60
Z13,51.07,41.74,23748,146
Z14,26.94,24.41,93530,368
Z15,51.88,70.3,74384,177
Z16,25.39,24.69,85318,425
Z17,30.09,28.48,113264,407
Z18,97.66,41.1,20854,76
Z19,90.83,23.96,139937,725
Z20,44.78,55.29,83734,505
Z21,76.16,23.76,45342,309
Z22,47.03,98.34,109045,568
Z23,9.03,83.53,62107,313
Z24,69.58,85.84,22811,138
Z25,1.66,51.21,126642,518
Z26,9.62,94.05,103879,448
Z27,93.67,13.75,28155,180
Z28,20.91,54.14,80713,286
Z29,66.0,81.72,127512,650
Z30,26.08,99.63,132893,981
